0,0.49947,0.000426,0.497758,0.000387,1.503044,0.054582,0.254002,0.008756,1.02,0.019798
1,0.52528,0.00364,0.486454,0.000945,1.769799,0.152225,0,0,0,0
2,0.544074,0.001572,0.49184,0.001075,1.477961,0.056255,0,0,0,0
3,0.57255,0.001028,0.49692,0.000999,1.456998,0.059268,0,0,0,0
4,0.547264,0.001329,0.480381,0.000863,1.377836,0.041469,0.064387,0.00056,1,0
5,0.513417,0.001475,0.493866,0.00092,1.495514,0.072299,0,0,0,0
6,0.466903,0.000567,0.484015,0.000762,1.44796,0.055591,0.112085,0.002003,1,0
7,0.530864,0.003184,0.596622,0.001454,1.546168,0.113733,0,0,0,0
8,0.502434,0.000825,0.496859,0.000453,1.45207,0.048085,0.189658,0.006261,2,0
9,0.529346,0.000706,0.517149,0.000675,1.460423,0.052991,0.121427,0.002233,1,0
